Period,Asset,N,Omega,Omega SE,Alpha (Shock),Alpha SE,Beta (Persistence),Beta SE,Gamma (Leverage),Gamma SE,Gamma P-Value,Nu (t d.o.f.),Nu SE,Log-Likelihood,AIC,ARCH-LM P-Value,Significant Leverage?,Converged,Plausible Region
Pre-COVID,Real_Estate_Management_and_Development,265,0.01383305891042105,0.010151288365570473,0.07048393214323546,0.08929541259847472,0.9769927301862563,0.028980331032155568,0.00033436340074968144,0.11348414493846677,0.9976491605121391,4.591382176362493,1.4179901816417315,-371.4186441220562,754.8372882441124,0.5257528751040762,No,True,True
COVID,Real_Estate_Management_and_Development,438,0.14045729190400047,0.05952287600855749,0.3934033099633021,0.09551587386050754,0.8928648442827654,0.038523160403722,-0.08007281992005356,0.05374916685800352,0.13628998927604416,3.595655030868198,0.594344443129202,-773.5497117455809,1559.0994234911618,0.5392709340262586,No,True,True
Crisis,Real_Estate_Management_and_Development,200,0.2855240030010263,0.16098698785838278,0.2894335617328681,0.11999734519904527,0.817611964280167,0.09825677434358321,-0.17966331469718969,0.07439891587878107,0.01574105623558874,7.762841200451298,3.014308662722606,-436.70435689386323,885.4087137877265,0.8927780317234296,Yes,True,True
Recovery,Real_Estate_Management_and_Development,655,0.24118399113754957,0.1753233550253461,0.19937894242766088,0.1795075997589641,0.6976409043582171,0.21213761531191827,0.018259124921862737,0.07991150952821204,0.8192639275705844,4.054786643193657,0.9911668276495873,-1124.7072208887716,2261.4144417775433,0.9999976480552588,No,True,True
Pre-COVID,Retailing,265,0.0050839462953114695,1.4662988008295323e-08,-0.14873008105829807,0.001659489150431714,0.9743235436576166,3.025934886649256e-08,0.013486641324086182,6.436090591615513e-05,0.0,9.245963459664553,10.554460929653159,-412.6246438730028,837.2492877460056,0.6938651554239155,No,True,True
COVID,Retailing,438,0.11100194044581391,0.049727413233481614,0.40813968406779816,0.08679814935989695,0.9442841540580845,0.023899240688607135,0.011396241254926241,0.05058903151869063,0.8217684656650519,3.934641978227922,0.7056777500381736,-864.3839453924559,1740.7678907849117,0.7389790184414083,No,True,True
Crisis,Retailing,200,0.26506471068935683,0.11733787984858503,0.21554819497010266,0.09826506491727523,0.8797942258585452,0.0543483087157672,-0.20208620103159328,0.06850097584353584,0.0031764899432812996,3.7823336457193433,1.0025467650542237,-474.7212093658454,961.4424187316909,0.8839119329673775,Yes,True,True
Recovery,Retailing,655,0.19777329051543344,0.13721112149924913,0.3277768832357,0.1123144881811346,0.7355769308052191,0.1934388252631495,-0.0376858443727183,0.05068522219169535,0.4571625238627387,5.372285063364797,1.146623787361054,-1121.2139111954496,2254.427822390899,0.36773847674001015,No,True,True
Pre-COVID,Telecommunication_Services,265,0.5979500381333229,0.1809042382839585,0.3810548245259537,0.18630170605217816,8.041762270315715e-18,0.18521773964413474,0.1652864600649423,0.10580343515303584,0.1182401379240299,6.563959820837566,2.2413214589203085,-447.81015985676476,907.6203197135295,0.9789187533969912,No,True,True
COVID,Telecommunication_Services,438,0.11015009774943317,0.07985868666592948,0.3858693166228963,0.15482509363651178,0.8854465330578812,0.09076371465978018,-0.05555520776800411,0.05516853793118324,0.3139305053671638,3.721449546298161,0.745230444279536,-703.7791746695026,1419.5583493390052,0.994864218343049,No,True,True
Crisis,Telecommunication_Services,200,0.8488314562382742,0.4914713065012483,0.7110191221917733,0.25899152640930617,0.5094597191412311,0.26214226023539433,0.013453921101132258,0.1501736945829209,0.9286137731856204,5.179760113571364,2.1653169903915033,-440.38425276849756,892.7685055369951,0.9596660526438127,No,True,True
Recovery,Telecommunication_Services,655,0.6031885359052477,0.1459969522578498,0.39297467772752126,0.09532820929717807,0.19828614647742018,0.1442869707721244,0.2669480465370206,0.066714595413407,6.2983711501991e-05,4.364556975486373,0.698483793610317,-1122.0200244393807,2256.0400488787614,0.31317857356378576,No,True,True
