Period,Asset,N,Omega,Omega SE,Alpha (Shock),Alpha SE,Beta (Persistence),Beta SE,Gamma (Leverage),Gamma SE,Gamma P-Value,Nu (t d.o.f.),Nu SE,Log-Likelihood,AIC,ARCH-LM P-Value,Significant Leverage?,Converged,Plausible Region
Crisis,Consumer_Durables_and_Apparel,234,0.3221765642358143,0.3093039885057477,0.3514721200862849,0.1415935657541836,0.7941215522496867,0.20218032859004662,-0.19526062081995388,0.1367639169910664,0.1533723803315032,4.05410721743176,0.9770131905376326,-479.7291589554877,971.4583179109754,0.9258553482106344,No,True,True
Recovery,Consumer_Durables_and_Apparel,598,0.06002932870208143,0.0359234886938044,0.1942017545307991,0.07663700045854616,0.9274255943516203,0.051680727418120125,-0.030089551460212832,0.038431995104510834,0.4336683793331251,4.14934925479375,0.7836527157208635,-970.3041434550113,1952.6082869100226,0.3901795843648817,No,True,True
Pre-Crisis,Consumer_Services,726,0.16607554190309481,0.14392385997013357,0.37788110180640916,0.1929782250911726,0.8743653191724584,0.13070764579374577,-0.018473533313795233,0.04913176092776556,0.7069170291000617,3.6978547979094114,0.5424693742592234,-1308.9990857579032,2629.9981715158065,0.7672138189261027,No,True,True
Crisis,Consumer_Services,234,-0.005454489168022817,0.021994382804059073,0.09613040859778109,0.08320880460459348,1.0,0.014129019119051837,-0.009542165261883943,0.022525942330152513,0.6718518533019879,7.260470870931953,2.828427186199018,-479.628171560719,971.256343121438,0.752512307150581,No,True,True
Recovery,Consumer_Services,598,0.14231907951401562,0.07389406303417885,0.39381248427361476,0.10502703023254037,0.5755971182563727,0.16219483529202927,0.04751806433459217,0.06779355257621716,0.48335103235893306,5.0240785078916215,1.021134349260899,-905.3742041804462,1822.7484083608924,0.916107233747282,No,True,True
Pre-Crisis,Diversified_Financials,726,0.1071403559820365,0.04408388436541578,0.4886764515262539,0.10628737027056091,0.9637941226104418,0.01795106930757013,-0.014456494445028105,0.037840966942681756,0.7024369594046093,3.576941742082037,0.4843354275491944,-1382.1238809634742,2776.2477619269484,0.5197327123670201,No,True,True
Crisis,Diversified_Financials,234,0.09475839488117739,0.27048075861982496,0.25341430499865275,0.7105669392056905,0.9592498523146711,0.1037406616138816,-0.10192666267875448,0.04898378827866099,0.03744998038950561,4.481603486105806,1.6332352133422499,-553.8790370332213,1119.7580740664425,0.0447321528701517,Yes,True,True
Recovery,Diversified_Financials,598,0.0990304849585336,0.05291788444149782,0.27464484362528174,0.07033045638053481,0.8579553498376096,0.07087578694265566,-0.054153421776759185,0.041337422720027335,0.19018439490523842,5.243425759029547,1.181436245823644,-997.851598607544,2007.703197215088,0.9938976577586174,No,True,True
Pre-Crisis,Energy,726,0.21950112076943493,0.1364784409973168,0.40666321259591715,0.14461448577766373,0.934288459353784,0.05048689129769494,0.00562545446405061,0.04114502571440046,0.8912500733028399,2.668969757065978,0.25991828274209955,-1528.0392120289318,3068.0784240578637,0.8690615944547182,No,True,True
Crisis,Energy,234,0.3832685254750751,0.21233493486453664,0.5097503977647997,0.15280634845630242,0.8790222038789105,0.06702517036750222,-0.12435015963137545,0.07206821336520383,0.08444625504737437,8.208623673150225,4.398467862364731,-684.0186333877227,1380.0372667754455,0.1785421847856637,No,True,True
